WEEK_DATA
n035w32

REQUIREMENTS
Early HeadNurse (0,0) (1,1) (0,0) (1,1) (0,0) (0,0) (1,1)
Early Nurse (1,1) (1,1) (1,1) (1,2) (1,2) (1,1) (1,1)
Early Caretaker (1,3) (1,3) (2,4) (2,3) (1,3) (1,2) (1,1)
Early Trainee (0,0) (0,1) (1,2) (1,1) (1,1) (0,0) (0,1)
Day HeadNurse (0,0) (0,0) (0,0) (0,0) (0,0) (1,1) (0,0)
Day Nurse (1,1) (1,1) (1,1) (1,1) (1,1) (1,1) (1,1)
Day Caretaker (2,3) (2,3) (1,3) (2,2) (2,2) (0,0) (1,2)
Day Trainee (0,0) (0,0) (0,0) (0,0) (1,1) (0,1) (1,1)
Late HeadNurse (0,0) (1,1) (0,0) (0,0) (1,1) (0,0) (0,0)
Late Nurse (1,1) (1,1) (1,2) (1,1) (1,1) (1,1) (1,1)
Late Caretaker (2,3) (1,2) (2,3) (1,2) (2,3) (1,1) (1,1)
Late Trainee (0,0) (1,1) (1,1) (1,2) (1,2) (0,1) (0,1)
Night HeadNurse (1,1) (1,1) (0,0) (0,0) (0,0) (1,1) (1,1)
Night Nurse (1,2) (1,1) (1,1) (1,1) (1,1) (1,1) (1,1)
Night Caretaker (2,2) (1,3) (2,4) (1,2) (3,4) (1,1) (1,1)
Night Trainee (0,0) (1,1) (1,1) (1,1) (1,1) (1,1) (1,1)

SHIFT_OFF_REQUESTS = 16
CT_21 Any Mon 
HN_4 Day Mon 
NU_10 Late Mon 
CT_24 Any Tue 
HN_0 Any Tue 
HN_2 Any Tue 
HN_5 Night Tue 
CT_21 Any Wed 
NU_11 Any Wed 
TR_29 Any Thu 
CT_23 Day Fri 
CT_28 Day Fri 
NU_11 Any Fri 
CT_18 Any Sat 
NU_16 Any Sat 
CT_20 Night Sun 
