WEEK_DATA
n110w16

REQUIREMENTS
Early HeadNurse (0,0) (0,1) (1,1) (1,1) (0,2) (1,1) (0,0)
Early Nurse (2,2) (1,1) (1,1) (3,3) (3,4) (1,1) (2,2)
Early Caretaker (5,7) (2,5) (5,7) (4,6) (5,6) (2,3) (3,4)
Early Trainee (3,4) (2,5) (2,4) (3,5) (2,5) (1,1) (1,1)
Day HeadNurse (1,1) (0,2) (1,1) (0,1) (1,2) (1,1) (1,2)
Day Nurse (2,3) (3,3) (3,3) (2,3) (2,2) (2,2) (1,1)
Day Caretaker (5,8) (5,6) (4,7) (3,6) (3,6) (2,3) (2,4)
Day Trainee (3,4) (3,4) (2,6) (2,4) (1,3) (1,1) (2,3)
Late HeadNurse (1,1) (1,1) (0,1) (1,1) (1,1) (1,1) (1,2)
Late Nurse (3,3) (2,3) (1,2) (2,3) (1,2) (2,3) (1,1)
Late Caretaker (4,7) (4,8) (4,7) (4,6) (2,6) (3,4) (2,4)
Late Trainee (4,6) (3,5) (2,4) (3,4) (2,5) (1,1) (2,3)
Night HeadNurse (0,0) (1,2) (1,2) (1,2) (1,1) (1,1) (1,2)
Night Nurse (2,3) (2,4) (1,2) (2,3) (3,4) (2,2) (2,2)
Night Caretaker (4,6) (3,6) (3,6) (5,7) (5,8) (1,4) (3,3)
Night Trainee (2,4) (2,5) (3,5) (3,6) (2,3) (2,2) (1,2)

SHIFT_OFF_REQUESTS = 18
NU_33 Any Mon 
HN_19 Late Tue 
TR_85 Any Tue 
TR_95 Any Tue 
CT_41 Early Wed 
CT_65 Any Wed 
HN_14 Night Wed 
HN_18 Any Wed 
CT_41 Any Thu 
HN_15 Any Thu 
HN_18 Any Thu 
TR_92 Day Thu 
TR_98 Any Thu 
HN_19 Late Fri 
NU_29 Any Fri 
NU_37 Any Fri 
TR_102 Any Sat 
CT_42 Day Sun 
