WEEK_DATA
n040w16

REQUIREMENTS
Early HeadNurse (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)
Early Nurse (1,2) (1,1) (1,2) (1,1) (1,1) (1,2) (1,2)
Early Caretaker (3,4) (3,3) (1,3) (2,4) (3,4) (0,0) (1,1)
Early Trainee (1,2) (1,1) (1,1) (1,2) (1,1) (0,1) (1,2)
Day HeadNurse (0,0) (0,0) (0,0) (0,0) (0,0) (1,1) (1,1)
Day Nurse (1,1) (1,2) (1,2) (1,2) (1,1) (1,1) (1,1)
Day Caretaker (3,5) (3,4) (2,5) (3,5) (3,3) (1,2) (2,2)
Day Trainee (0,0) (1,1) (1,2) (0,2) (0,0) (1,1) (0,0)
Late HeadNurse (0,0) (1,1) (1,1) (0,0) (0,0) (0,0) (0,0)
Late Nurse (1,2) (1,1) (1,1) (1,2) (1,1) (1,1) (1,1)
Late Caretaker (2,4) (2,3) (3,3) (2,3) (3,4) (2,3) (0,1)
Late Trainee (0,0) (0,0) (1,1) (1,1) (1,2) (0,0) (1,2)
Night HeadNurse (1,1) (1,1) (0,0) (0,0) (0,0) (1,1) (1,1)
Night Nurse (1,1) (1,1) (1,1) (1,1) (1,2) (1,1) (1,1)
Night Caretaker (2,3) (3,4) (3,5) (3,4) (3,3) (1,2) (0,2)
Night Trainee (0,0) (1,1) (1,1) (0,0) (1,2) (1,1) (0,0)

SHIFT_OFF_REQUESTS = 16
CT_28 Any Mon 
CT_25 Night Tue 
CT_24 Any Wed 
NU_10 Any Wed 
CT_18 Early Thu 
CT_23 Any Thu 
CT_27 Late Thu 
CT_30 Night Thu 
NU_13 Any Thu 
NU_8 Night Thu 
HN_2 Any Fri 
CT_24 Day Sat 
HN_5 Late Sat 
NU_8 Any Sat 
TR_33 Any Sat 
TR_33 Any Sun 
