WEEK_DATA
n050w32

REQUIREMENTS
Early HeadNurse (0,0) (0,0) (0,0) (1,1) (0,0) (1,1) (1,1)
Early Nurse (2,3) (2,3) (3,3) (2,2) (2,3) (1,1) (1,1)
Early Caretaker (2,3) (2,3) (3,4) (2,3) (3,4) (2,3) (0,1)
Early Trainee (1,1) (1,2) (2,2) (1,2) (1,1) (0,0) (0,1)
Day HeadNurse (1,1) (1,1) (1,1) (0,0) (1,1) (0,0) (0,0)
Day Nurse (2,3) (1,3) (1,2) (1,2) (2,4) (1,1) (1,1)
Day Caretaker (1,3) (2,4) (4,5) (2,4) (2,4) (2,3) (2,3)
Day Trainee (2,2) (1,2) (1,2) (1,1) (0,2) (1,1) (0,0)
Late HeadNurse (0,0) (0,0) (0,0) (1,1) (1,1) (0,0) (1,1)
Late Nurse (3,3) (2,3) (3,4) (1,2) (2,2) (1,1) (1,1)
Late Caretaker (2,5) (3,6) (3,4) (4,4) (2,4) (2,2) (1,3)
Late Trainee (2,2) (0,2) (1,1) (2,3) (0,0) (0,1) (1,1)
Night HeadNurse (0,0) (0,0) (0,0) (0,0) (0,0) (1,1) (0,0)
Night Nurse (2,3) (1,3) (2,3) (2,2) (1,2) (1,1) (1,1)
Night Caretaker (3,5) (2,4) (3,5) (3,6) (3,4) (2,2) (1,1)
Night Trainee (0,0) (2,2) (1,1) (1,1) (1,1) (0,1) (0,0)

SHIFT_OFF_REQUESTS = 19
NU_24 Any Tue 
CT_34 Any Wed 
NU_11 Any Wed 
NU_14 Any Wed 
NU_18 Any Wed 
TR_44 Late Wed 
NU_11 Early Thu 
HN_1 Any Fri 
NU_23 Early Fri 
NU_26 Day Fri 
TR_41 Night Fri 
TR_42 Any Fri 
CT_30 Late Sat 
CT_35 Early Sat 
NU_21 Any Sat 
NU_26 Night Sat 
TR_45 Any Sat 
NU_15 Late Sun 
NU_16 Any Sun 
